ID HCME               Pre-event               Last full visibility COR 2              GCS PARAMETER                     FIT
-                     date            time    date            time    carlon  stolon  stolat  tilt    ssprat  h_angle   apex s  CME-mass
-                     yyyymmdd        hhmm    yyyymmdd        hhmm    deg     deg     deg     deg     -       deg       km/s    g
HCME_A__20111123_01   2011-11-22      21:54   2011-11-23      01:54   354     83      26      -72     0.38    10.3      734     4.30E+15
HCME_A__20111126_02   2011-11-26      06:54   2011-11-26      08:54   283     56      14      -41     0.63    44.2      1334    1.00E+16
HCME_B__20111225_01   2011-12-25      00:54   2011-12-25      04:54   196     -11     21      34      0.28    17.9      573     3.20E+15
HCME_B__20111226_01   2011-12-26      10:54   2011-12-26      13:54   189     0       23      37      0.36    15.9      1100    4.40E+15
HCME_B__20111229_01   2011-12-28      21:00   2011-12-29      11:54   133     -18     40      42      0.24    21.8      230     2.30E+16
HCME_A__20111229_02   2011-12-29      16:54   2011-12-29      19:54   244     98      7       -36     0.84    17.9      732     2.20E+16
HCME_B__20120308_01   2012-03-08      16:17   2012-03-08      20:39   191     -113    9       -53.6   0.6     19.2      724     6.00E+15
HCME_A__20120712_02   2012-07-12      15:37   2012-07-12      18:39   88      8       -12     90      0.46    34.4      1239    1.50E+16
HCME_A__20120717_01   2012-07-17      12:03   2012-07-17      16:55   78      63      -28     34.6    0.63    30.9      1011    1.60E+16
HCME_A__20121005_01   2012-10-05      02:45   2012-10-05      07:24   55      11      -19     54      0.32    52        574     6.40E+15
HCME_A__20121109_01   2012-11-09      18:02   2012-11-09      17:49   289     -6      -13     22      0.33    34.9      534     5.00E+16
HCME_A__20121111_01   2012-11-11      02:11   2012-11-11      05:45   334     58      -41     41      0.4     13        754     3.00E+15
HCME_A__20121120_01   2012-11-20      12:36   2012-11-20      13:51   170     17      19      -65     0.38    31.9      1079    5.20E+15
HCME_B__20130517_01   2013-05-17      08:43   2013-05-17      10:39   298     -29     12      -52     0.33    13.9      1588    1.00E+16
HCME_B__20130620_01   2013-06-20      11:34   2013-06-20      15:39   186     -52     -34     -41     0.15    9.5       640     1.60E+15
HCME_B__20130719_01   2013-07-18      19:57   2013-07-18      23:45   121     -99     10      90      0.25    15.2      523     2.30E+15
HCME_A__20130930_01   2013-09-29      22:40   2013-09-29      23:24   9       33      43      -67     0.48    49        1216    1.40E+16
HCME_A__20131003_01   2013-10-02      19:54   2013-10-03      00:54   21      85      35      -90     0.33    44.9      624     8.20E+15
HCME_B__20131025_02   2013-10-25      14:51   2013-10-25      17:20   281     -74     13      68      0.45    22.7      1088    7.70E+15
